date,dkk_eur
25/11/2020,0.1343436
26/11/2020,0.13434
27/11/2020,0.1343635
28/11/2020,0.134370675
30/11/2020,0.1343418
01/12/2020,0.134344
02/12/2020,0.1343201
03/12/2020,0.134337
04/12/2020,0.1343418
05/12/2020,0.134372481
06/12/2020,0.134338
07/12/2020,0.134322
08/12/2020,0.1343382
09/12/2020,0.1343232
10/12/2020,0.1343284
11/12/2020,0.1343544
14/12/2020,0.1343649
15/12/2020,0.134364
17/12/2020,0.1343905
18/12/2020,0.1343927
21/12/2020,0.1344158
22/12/2020,0.1344122
23/12/2020,0.1344222
26/12/2020,0.134505866
28/12/2020,0.1344701
29/12/2020,0.134405
31/12/2020,0.1343102
03/01/2021,0.13438
05/01/2021,0.1344138
07/01/2021,0.1344158
08/01/2021,0.134427
11/01/2021,0.1344332
12/01/2021,0.134409
13/01/2021,0.1344176
14/01/2021,0.134414
15/01/2021,0.1344068
17/01/2021,0.134432
18/01/2021,0.1344088
19/01/2021,0.1344231
20/01/2021,0.134427
21/01/2021,0.1344032
22/01/2021,0.1344122
23/01/2021,0.134423056
24/01/2021,0.134403
26/01/2021,0.1344111
27/01/2021,0.134446
29/01/2021,0.1344357
30/01/2021,0.1344321
01/02/2021,0.134448
02/02/2021,0.1344361
03/02/2021,0.134435
04/02/2021,0.1344625
05/02/2021,0.1344646
09/02/2021,0.1344447
10/02/2021,0.1344411
11/02/2021,0.1344429
12/02/2021,0.1344574
15/02/2021,0.1344592
16/02/2021,0.1344695
17/02/2021,0.134457
22/02/2021,0.1344646
23/02/2021,0.134461
25/02/2021,0.1344654
26/02/2021,0.1344737
27/02/2021,0.134477287
01/03/2021,0.1344713
02/03/2021,0.1344628
03/03/2021,0.13447
04/03/2021,0.13447
07/03/2021,0.134467
08/03/2021,0.1344668
09/03/2021,0.134458
10/03/2021,0.1344682
11/03/2021,0.1344682
12/03/2021,0.134461
14/03/2021,0.1344585
16/03/2021,0.1344722
18/03/2021,0.134471
19/03/2021,0.134427
20/03/2021,0.134448358
21/03/2021,0.1344675
22/03/2021,0.13447
23/03/2021,0.1344737
24/03/2021,0.1344711
25/03/2021,0.1344697
26/03/2021,0.134427
28/03/2021,0.1344673
29/03/2021,0.1344538
30/03/2021,0.134429
31/03/2021,0.1344359
02/04/2021,0.1338645
05/04/2021,0.13442
06/04/2021,0.1344554
08/04/2021,0.134444
09/04/2021,0.1344538
10/04/2021,0.1344538
12/04/2021,0.134443
13/04/2021,0.1344447
14/04/2021,0.134452
15/04/2021,0.134452
18/04/2021,0.134464
19/04/2021,0.134463
20/04/2021,0.1344664
21/04/2021,0.1344648
22/04/2021,0.1344675
23/04/2021,0.1344429
